/Users/zhaoqianxue/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
[*] Detected total rows: 304391
[*] Total Target Rows: 304391
[*] Remaining Batches: 3044 (Batch Size: 100)
[*] Parallel Workers: 10
--------------------------------------------------

[+] PROGRESS:   4.66% | Batches Done: 142/3044 | ETA: 26.5 min
[+] PROGRESS:   4.70% | Batches Done: 143/3044 | ETA: 26.4 min
[+] PROGRESS:   4.73% | Batches Done: 144/3044 | ETA: 26.4 min
[+] PROGRESS:   4.76% | Batches Done: 145/3044 | ETA: 26.2 min
[+] PROGRESS:   4.80% | Batches Done: 146/3044 | ETA: 26.2 min
[+] PROGRESS:   4.83% | Batches Done: 147/3044 | ETA: 26.1 min
[+] PROGRESS:   4.86% | Batches Done: 148/3044 | ETA: 26.0 min
[+] PROGRESS:   4.89% | Batches Done: 149/3044 | ETA: 26.1 min
[+] PROGRESS:   4.93% | Batches Done: 150/3044 | ETA: 26.1 min
[+] PROGRESS:   4.96% | Batches Done: 151/3044 | ETA: 25.9 min
[+] PROGRESS:   4.99% | Batches Done: 152/3044 | ETA: 25.7 min
[+] PROGRESS:   5.03% | Batches Done: 153/3044 | ETA: 25.6 min
[+] PROGRESS:   5.06% | Batches Done: 154/3044 | ETA: 25.4 min
[+] PROGRESS:   5.09% | Batches Done: 155/3044 | ETA: 25.3 min
[+] PROGRESS:   5.12% | Batches Done: 156/3044 | ETA: 25.2 min
[+] PROGRESS:   5.16% | Batches Done: 157/3044 | ETA: 25.1 min
[+] PROGRESS:   5.19% | Batches Done: 158/3044 | ETA: 25.0 min
[+] PROGRESS:   5.22% | Batches Done: 159/3044 | ETA: 24.9 min
[+] PROGRESS:   5.26% | Batches Done: 160/3044 | ETA: 24.8 min
[+] PROGRESS:   5.29% | Batches Done: 161/3044 | ETA: 24.7 min
[+] PROGRESS:   5.32% | Batches Done: 162/3044 | ETA: 24.6 min
[+] PROGRESS:   5.35% | Batches Done: 163/3044 | ETA: 24.6 min
[+] PROGRESS:   5.39% | Batches Done: 164/3044 | ETA: 24.5 min
[+] PROGRESS:   5.42% | Batches Done: 165/3044 | ETA: 24.5 min
[+] PROGRESS:   5.45% | Batches Done: 166/3044 | ETA: 24.4 min
[+] PROGRESS:   5.49% | Batches Done: 167/3044 | ETA: 24.4 min
[+] PROGRESS:   5.52% | Batches Done: 168/3044 | ETA: 24.2 min
[+] PROGRESS:   5.55% | Batches Done: 169/3044 | ETA: 24.2 min
[+] PROGRESS:   5.58% | Batches Done: 170/3044 | ETA: 24.1 min
[+] PROGRESS:   5.62% | Batches Done: 171/3044 | ETA: 24.0 min
[+] PROGRESS:   5.65% | Batches Done: 172/3044 | ETA: 23.9 min
[+] PROGRESS:   5.68% | Batches Done: 173/3044 | ETA: 23.8 min
[+] PROGRESS:   5.72% | Batches Done: 174/3044 | ETA: 23.8 min
[+] PROGRESS:   5.75% | Batches Done: 175/3044 | ETA: 23.7 min
[+] PROGRESS:   5.78% | Batches Done: 176/3044 | ETA: 23.7 min
[+] PROGRESS:   5.81% | Batches Done: 177/3044 | ETA: 23.6 min
[+] PROGRESS:   5.85% | Batches Done: 178/3044 | ETA: 23.5 min
[+] PROGRESS:   5.88% | Batches Done: 179/3044 | ETA: 23.5 min
[+] PROGRESS:   5.91% | Batches Done: 180/3044 | ETA: 23.4 min
[+] PROGRESS:   5.95% | Batches Done: 181/3044 | ETA: 23.4 min
[+] PROGRESS:   5.98% | Batches Done: 182/3044 | ETA: 23.3 min
[+] PROGRESS:   6.01% | Batches Done: 183/3044 | ETA: 23.3 min
[+] PROGRESS:   6.04% | Batches Done: 184/3044 | ETA: 23.2 min
[+] PROGRESS:   6.08% | Batches Done: 185/3044 | ETA: 23.2 min
[+] PROGRESS:   6.11% | Batches Done: 186/3044 | ETA: 23.1 min
[+] PROGRESS:   6.14% | Batches Done: 187/3044 | ETA: 23.1 min
[+] PROGRESS:   6.18% | Batches Done: 188/3044 | ETA: 23.0 min
[+] PROGRESS:   6.21% | Batches Done: 189/3044 | ETA: 23.0 min
[+] PROGRESS:   6.24% | Batches Done: 190/3044 | ETA: 22.9 min
[+] PROGRESS:   6.27% | Batches Done: 191/3044 | ETA: 22.9 min
[+] PROGRESS:   6.31% | Batches Done: 192/3044 | ETA: 22.8 min
[+] PROGRESS:   6.34% | Batches Done: 193/3044 | ETA: 22.7 min
[+] PROGRESS:   6.37% | Batches Done: 194/3044 | ETA: 22.7 min
[+] PROGRESS:   6.41% | Batches Done: 195/3044 | ETA: 22.8 min
[+] PROGRESS:   6.44% | Batches Done: 196/3044 | ETA: 22.6 min
[+] PROGRESS:   6.47% | Batches Done: 197/3044 | ETA: 22.6 min
[+] PROGRESS:   6.50% | Batches Done: 198/3044 | ETA: 22.5 min
[+] PROGRESS:   6.54% | Batches Done: 199/3044 | ETA: 22.5 min
